X,Y,wind_id,GID_0,turbines,landscape.area,water,urban,power
13014798.4772528,-4403165.40348511,32945,AUS,9,7.00032732723141,0,0,16.1554010820119
12097047.3113478,-4155783.56553926,32946,AUS,2,2.83506145244944,0,0,
12147225.2075688,-4311215.89871515,32947,AUS,7,5.46428270831132,0,0,11.9058343726095
12139444.5361937,-4328370.71142709,32948,AUS,6,4.81340001051283,0,0,9.81631271607376
12160481.407397,-4208707.69208533,32949,AUS,2,3.24371689220715,0,0,
12159418.6079115,-4209543.11128526,32950,AUS,2,2.93050587067747,0,0,
12157881.5917727,-4214470.89686341,32951,AUS,14,13.1578171226787,0,0,27.2439374999622
12159124.106242,-4218746.70348199,32952,AUS,3,3.69460232806969,0,0,
12156280.7451958,-4213421.8172176,32953,AUS,3,3.89858779022837,0,0,
12157990.4835233,-4219402.84280804,32954,AUS,2,2.85573382228661,0,0,
12099727.0908579,-4148230.22838523,32955,AUS,2,2.85377356403184,0,0,
12098851.0354071,-4147314.86837949,32956,AUS,7,7.80949632012558,0,0,10.1389509312272
12101374.553944,-4145873.37546155,32957,AUS,12,10.0025522735739,0,0,22.8107926221599
12099239.5135237,-4151436.01908694,32958,AUS,2,2.7660384786725,0,0,
12097780.8578996,-4153028.40920604,32959,AUS,7,7.56289811682129,0,0,10.3413041683959
12096694.4586562,-4154523.2708401,32960,AUS,3,3.49585716640091,0,0,
12376344.8910027,-4739104.4444336,32961,AUS,2,2.84627731895721,0,0,
12376203.1074297,-4742018.05903089,32962,AUS,36,28.6252965882225,0,0,71.5975907078813
12389024.1069403,-4752798.88485085,32963,AUS,8,7.11223860496426,0,0,13.5697571894074
13125003.6610187,-4133502.92210106,32964,AUS,3,3.35217033760357,0,0,
13122036.4406761,-4130408.68741086,32965,AUS,3,2.97640639021444,0,0,
13122302.704904,-4132913.6218709,32966,AUS,3,3.61505737167311,0,0,
13121198.1383538,-4131387.72991656,32967,AUS,3,3.63915855351925,0,0,
13118871.05527,-4133993.54136462,32968,AUS,4,4.22508074296856,0,0,
13120883.5704411,-4128987.43222397,32969,AUS,2,3.18830824997663,0,0,
13120031.3471888,-4130445.66945667,32970,AUS,3,4.58130529296589,0,0,
13115731.6033837,-4133564.6552314,32971,AUS,2,2.63706522872639,0,0,
12386263.9886381,-4751247.46282585,32972,AUS,4,4.67356647422314,0,0,
12389004.6362394,-4743915.05690622,32973,AUS,18,13.9453626960459,0,0,36.22051769237
12315741.2893751,-4690473.88274452,32974,AUS,4,3.61341533656692,0,0,
12317364.0256106,-4691747.56008762,32975,AUS,3,3.41727001728106,0,0,
12315804.5621223,-4691920.82045127,32976,AUS,4,4.17369250722456,0,0,
12331907.0812592,-4679910.43446319,32977,AUS,4,3.63691129334211,0,0,
12330178.2780377,-4689133.6020566,32978,AUS,9,6.30336693670714,0,0,16.2072083085656
12334582.7218822,-4678481.40170131,32979,AUS,12,10.9938495120463,0,0,22.618194979896
12332309.5626503,-4686899.63408141,32980,AUS,2,2.74053229808521,0,0,
12335583.663361,-4681345.91275758,32981,AUS,7,5.37743809570622,0,0,11.9499662852869
12333115.7129494,-4681913.23938354,32982,AUS,4,4.04226452077198,0,0,
12390749.6599456,-4753675.10255039,32983,AUS,6,6.84964231175482,0,0,7.91185402275072
12311273.3753662,-4778328.76467659,32984,AUS,2,2.79371919841707,0,0,
12314310.5304311,-4777663.46830038,32985,AUS,3,4.52017146866274,0,0,
12316758.2367886,-4777249.8238551,32986,AUS,6,6.25851335643244,0,0,8.47023332414848
12315993.3450629,-4774618.73546657,32987,AUS,2,2.60589977330375,0,0,
12311058.2463997,-4780613.48977353,32988,AUS,13,11.3126111990666,0,0,25.0633769453872
12312048.2698134,-4777175.05119165,32989,AUS,2,3.26958530924034,0,0,
11953552.7228709,-4278250.60497374,32990,AUS,107,141.385533482727,0,0,158.226027777009
-510531.568978396,7174712.31633755,32991,FRO,3,2.53048566697362,0,0,
-90816.2786151935,7009914.56215029,32992,GBR,5,3.40648286096268,0,0,8.533010530002
-60793.9944485829,7060416.20532124,32993,GBR,2,2.06479555033029,0,0,
-62803.9044823111,7046729.83800934,32994,GBR,2,2.11003338451812,0,0,
-491952.3352404,7163306.2576935,32995,FRO,13,3.62782744870642,0,0,11.5837981854831
-483106.026267623,7167155.72222979,32996,FRO,3,3.33836060746327,0,0,
-481911.669468298,7166032.64511341,32997,FRO,3,2.53163649774403,0,0,
13327487.7163774,-4189882.81952161,32998,AUS,2,2.15358370425308,0,1,
14892292.0701024,-5048513.06948003,32999,NZL,128,28.9001596831474,0,0,106.377459165781
14898702.1993256,-5043395.99389159,33000,NZL,54,21.3615395952098,0,0,78.3392135667733
14783958.4575979,-5161459.30075521,33001,NZL,7,3.13350536267066,0,0,10.5403055657967
14781209.5956399,-5163486.07623633,33002,NZL,8,5.20167326260263,0,0,14.0909249756442
14884956.1201262,-5053560.56374623,33003,NZL,103,20.2341509005547,0,0,80.3190512208292
15015974.2480966,-4770937.44341435,33004,NZL,25,19.9171165871873,0,0,51.1087521435789
15013617.053699,-4773597.43770911,33005,NZL,2,2.66724475267625,0,0,
13937523.547095,-5638857.42461949,33006,NZL,3,3.66198188908911,0,0,
13939354.8740869,-5636917.53496158,33007,NZL,8,6.15711653315592,0,0,14.0232227423268
13809552.1535031,-5636197.05626489,33008,NZL,8,6.35223650470304,0,0,13.9528388669061
13808378.9571932,-5637485.75119212,33009,NZL,3,3.63115011747169,0,0,
13808871.3220876,-5633887.97151849,33010,NZL,18,11.3563565303421,0,0,34.7511498216092
14726460.1408987,-5148638.24065914,33011,NZL,26,12.1084284608159,0,0,44.3095867361307
14722787.7170792,-5150363.47421811,33012,NZL,11,7.324469036273,0,0,20.3490235688595
14722991.5859515,-5151931.21494216,33013,NZL,6,5.88366101032209,0,0,8.83309018554684
14719567.8993359,-5155756.19870747,33014,NZL,18,15.4735861623411,0,0,36.5038896829662
13905454.5720492,-5666991.90422807,33015,NZL,9,3.87629716128445,0,0,13.2349490590262
14734337.3305474,-5143862.40381744,33016,NZL,25,13.8474783731313,0,0,46.4265249751816
13137169.5075771,-4278969.32732383,33017,AUS,2,2.36586809649467,0,0,
14625710.1227907,-5219588.12704619,33018,NZL,4,2.91820002908087,0,0,
13928507.5508126,-5613274.9759686,33019,NZL,4,2.82748755774355,0,0,
14632606.1598683,-5214710.18629701,33020,NZL,3,2.40710710369873,0,0,
13736362.9349605,-5722170.10973773,33021,NZL,8,4.15528929624951,0,0,13.2407180645251
-4320484.89473668,-7212615.19109163,33022,,2,2.01615027128189,0,0,
796148.291067424,7376749.93332285,33023,NOR,17,9.81713584909268,0,0,31.7247767049473
1440273.50934473,7293845.28462895,33024,,2,2.57491619155057,0,0,
1041108.83925522,7017253.95052874,33025,SWE,3,3.10172141366971,0,0,
1040189.37064356,7016525.72072003,33026,SWE,3,2.90282534789962,0,0,
1531072.60693439,7182025.50768531,33027,,3,2.65536815236461,0,0,
1608630.88908073,7605399.34363065,33028,FIN,5,3.853445964333,0,0,8.12534995740741
1129290.47914912,7009840.80106318,33029,SWE,2,2.54635155668388,0,0,
1112079.57814673,7322060.47768925,33030,SWE,16,10.393129763978,0,0,30.8539071334712
1702482.4102313,7443830.63019098,33031,FIN,17,8.51211779689068,0,0,29.6757250988136
1699098.28461958,7444129.87815062,33032,,5,3.39188706909943,0,0,8.5433677569615
1773591.86004522,7395774.35639806,33033,FIN,3,2.36700292002067,0,1,
1489695.03193669,7366686.46427396,33034,,3,2.6473357366227,0,0,
1545567.4943988,7131508.69436178,33035,,4,3.23207086781068,0,0,
1546947.27056668,7131852.7468922,33036,,2,2.97839596260732,0,0,
1555563.68344542,7129476.49346375,33037,FIN,7,5.03029809967244,0,0,12.0891755355937
1093710.75037546,7006514.18423847,33038,SWE,6,6.23044720962901,0,0,8.49727333060657
1096692.82695326,7006776.6166834,33039,SWE,4,4.65740462491789,0,0,
